序号	评分	帖子
203		203.但凡吃了一颗花生米，肚子里就多了一颗花生米。
204		204.妈妈做的面我可以直接吃，方便面却还需要自己泡，真不知道到底方便在哪儿
205		205.小明冬天舔铁门舌头被粘住，小红读了一条热门新闻将其解救
206		206.人们寻找安静的图书馆，为了集中注意力，却戴上了嘈杂的耳机。
207		207.王老汉忘了给手续费导致无手可用
208		208.食人族点外卖，半天外卖还没送到，酋长问点了什么 “戈多。”
209		209.我经常失眠，因为在梦境里我无法逃避
210		210.想把今夜的月色穿在身上，于是我赤裸着走上了街头
211		211.游客走在断头路上，问导游，“我想去这条路能不能导下?”导游说：“不连续必不可导。”
212		212.沿海的人吃海鲜是吃个新鲜 内陆的人吃海鲜是吃个新鲜
213		213.你又没有吃过云，怎么知道那不是棉花糖？
214		214.“开了个好头”僵尸兴奋地说道
215		215.买森林木家具，是人从众心理
216		216.我向镜中的我走去 镜中的我向我走来——即使是双向的奔赴也毫无意义
217		217.庄子：昨晚梦见我俩了，你和现实里差不多。惠子：那你呢？庄子：我是你蝶。
218		218.医生说我还有三天可以活，我越想越气，决定不遵医嘱多活几年
219		219.我把垃圾扔垃圾桶里，垃圾把我扔在外面
220		220.你可能不知道，为了活下去，我每天都在努力吃饭
221		221.Jealousy，猜忌，这个单词如何形象的记忆呢？你就想，j出门遛弯，遇到了e，又遇到了a，还遇到了l，他们四个一起走，又遇到了o，还遇到了u，之后又遇到了s，最后遇到了y。这样记忆简单些了吗
222		222.小王同学在考研吧已经当上了吧主，可他还没有考上研究生
223		223.我是一名程序员/　我爱的女生很可爱/　她就是我的全世界/　我向她走过去/　对她说/　Hello, world
224		224.资本家深入群众被当异物取出
225		225.他人即地狱，所以自己待着就是天堂
226		226.每次杀完人回到寝室看着没写完的作业心里总有一种强烈的负罪感
227		227.为了不留下遗憾 我带着遗憾离开了那个地方
228		228.梦见男朋友是个风流浪子，还好梦是反的，原来他是流浪疯子
229		229.快手上市了，投资者们激动地喊道：“快手冲啊！”
230		230.河水是从山上流下的，我猜是山云畔藏着一片海。
231		231.小明的论文有夸大数据的嫌疑，“大数据好，大数据妙”这种话也赫然其中。
232		232.成功抓捕逃犯后，王警官兴奋的大喊：“现在换你来当警察了！”
233		233.今日事今日毕，不毕就等延毕
234		234.“大家把垃圾带走。”教授语毕，一位大学生昂首挺胸走出了教室。
235		235.既然经常盯着电脑屏幕对眼睛不好，那为什么不用纸质电脑？
236		236.“你也有今天。” 我对日历说。
237		237.“哥特萝莉”小明第一次女装后如是说道。
238		238.由于长沙新限塑令发布，全市市民竟难以开口说话
239		239.华莱士，又叫泄堡王
240		240.人生就像一场游戏，死亡是防沉迷
241		241.所有的桥都是温暖的，因为它们让河流不再难过。
242		242.送分题算不算学术腐败
243		243.什么时候能实行四天工作制啊，现在两天周末拿来加班根本不够用。
244		244.太阳怎么老是围着地球转啊，就因为我在地球上吗？
246		246.充电器冒充电器
248		248.《资本论》我只看过第一章，因为剩下的要付费了
249		249.第一个得艾滋病的人干了什么？老二刺猿了。
250		250.考研，又叫开卷考试。
251		251.每一个不曾起舞的日子都是24小时
252		252.这天底下还没有我办得成的事。
253		253.耶稣因急性肠胃炎在最后的晚餐中被油大害死
254		254.霍比特人挥霍比特币
255		255.“整到的光！”匡衡凿壁偷光后欣喜说道。
256		256.变色龙一到繁殖季节就变色龙
257		257.绑匪要价八千万，王警官走投无路之下找来中国大妈，与歹徒对峙数个小时歹徒终于答应了50块钱放人
258		258.火机里装的是什么气体，为什么闻起来有一股烧焦的鼻毛味
259		259.只要大家好好学习,每个人成绩都会在平均分以上
260		260.图书馆就像灵堂，是寄托人们灵魂的地方。
261		261.“困因困因困因困因困因！”dio口中大喊。
262		262.我有个双胞胎哥哥，由于父母只给我俩买一个东西，所以我俩经常抢东西 后来我俩被抓走了。
263		263.既然放羊可以用牧羊犬，那么放牛为什么不用牵牛花？
264		264.纯路人，我来说两句：下场无路人
265		265.刚下机测核酸，全飞机只有我是阴性，感觉自己还挺幸运的
266		266.圣诞节我穿袜子，我是我自己的礼物
267		267.位于寒冷的北方，苏联不由得打了个冷战
268		268.如果太阳会说话，那他说的是不是日语？
269		269.“整点报时！”东北朋友买了几座钟表。
270		270.每一百个人就有一个人是弱智，由此可见弱智吧99%的人在装病。
271		271.为什么狗仗人事而不仗财务呢？
272		272.迎面走来嘴上喊着八嘎的方阵是我校日语专业同学
273		273.写论文的大学生和现充是同一类人，他们都会大骂：死翟真恶心！
274		274.意大利人为什么要用一种面食为自己的国家命名呢
275		275.教皇表示十分羡慕日本这片土地，有人愿意主动把小男孩扔过来
276		276.“康师傅。”师傅示意徒弟看他操作
277		277.只要加上人下人，内卷就变成了美味的肉卷
278		278.某乎：如何评价华莱士？ 回答：泻药
279		279.曹丞相府上闹鬼的消息传开了，瞒不住了
280		280.我葬礼那天要是你不来我就不去了。
281		281.众所周知，益州的特产是铅，正所谓天下三分，益州Pb
282		282.苏伊士运河急征日本公民打电话：摩西摩西！
283		283.从今天起，，做一个双标的人！！
284		284.会不会我并没有得心脏病，只是心脏要抛弃我这个宿主?
285		285.原来不是起雾了，是天上的云掉下来了
286		286.体重秤是免费的查重机器。
287		287.收银员都是一吗？为什么整天找零？
288		288.你可以在steam上找到GTA，所以水是蛋白质。
289		289.主唱和吉他手讲贝斯手笑话竟忘了贝斯手也在台上。
290		290.秦始皇焚书坑儒，所以他也是反孔精英
291		291.我最讨厌那些说我嘴硬的人了，你都没和我接过吻，凭什么说我嘴硬
292		292.小王和Miku订婚，朋友圈文案:未来可妻。
293		293.为啥有人说话要带括号，是在调用函数吗
295		295.两黑帮火拼，潜伏其中的双面卧底开始打自己
