index,2018年度,2019年度,2020年度,2021上半年,2021下半年,2022年度,2022年评分,2023年度,2023年评分
12,136、注重养生的寡妇赵小红根据中医冬吃萝卜夏吃姜说法，决定冬天用萝卜，夏天用姜,323、浴霸打了一个响指，给全世界一半的人洗了澡,353、<br>“用三个字形容自己。”<br>“弱、智。”,293、让ntr爱好者喜欢上纯爱，是不是也是一种ntr,282、苏伊士运河急征日本公民打电话：摩西摩西！,353、这个世界对于笑话来讲是很残酷的，如果不好笑，它甚至活不到下一张嘴。,3.48,339、我有鱼鱼症，被网抱的话很有可能死掉。,3.48
13,135、著名歌手因忘记买票没能进入自己的演唱会。,322、我要不是为了能下班，谁稀罕在你这上班？,352、“连续五个虚词不可能表示否定”<br>“那可不咋滴”,292、我在知识的海洋里遨游<br>卷起来了卷起来了<br>谁把我的船打烂了,281、众所周知，益州的特产是铅，正所谓天下三分，益州Pb,352、贾宝玉因为一家公司零待遇而加入。,3.48,338、非常乐观＝绝对音感。,3.48
14,134、“这几天光下雨我身上都长蘑菇了”说着王老汉向记者撩起了裤裆,321、患有侏儒症的王老汉终于在一次酒宴上喝高了,351、经过一年的努力，我终于长大了一岁,291、熬夜只是今天没过够，向明天要时间。,280、我葬礼那天要是你不来我就不去了。,351、时间会不会是一个矢量？我从此刻出发，奔向不同的未来,3.50,337、卖完地赚了一大笔钱的王老汉开心的笑了。,3.50
15,133、王老汉转体三周半华丽入水后误碰开关最终溺死在洗衣机里,320、男子倒地身亡法官判处地球故意杀人罪将在明天摧毁地球。,350、你要是有个三长两短我可怎么蒙啊！,290、“我是free控。”艾伦说道,279、曹丞相府上闹鬼的消息传开了，瞒不住了,350、不可能里含有66.66%的可能。,3.50,334、姓名：林正英<br>性别：男<br>职务：大战僵尸,3.50
16,132、看着正与另一黑帮火拼的小弟们老大绝望的喊了一句快请如来佛祖！,319、只需服用一个疗程就能让直男变gay，不愧是归零膏,349、不用阴阳怪气的声音和猫说话也是一种成熟。,297、酒桌文化，又称丨逼丨你丨逼丨你丨干杯,278、某乎：如何评价华莱士？<br>回答：泻药,349、“时光机里有人不是很正常的吗？”小明向警方解释抽屉里的尸体。,3.50,333、当你夸别人品味好，其实是在夸自己品味好。,3.50
17,131、我花大价钱买回来的太监竟是阉割版的。,318、战场内一片祥和，尸体们都在安睡,348、初学摩斯电码的我，敲桌子与雨滴隔窗对骂。,289、如果有人批评你不够客观，那么很可能是你的观点不符合他的主观,277、只要加上人下人，内卷就变成了美味的肉卷,348、钢琴特长生因其钢琴特长无法摆上舞台，遗憾离开节目。,3.50,332、恋爱脑，是两种我没有的东西。,3.50
18,130、青龙山秘密研发战机试飞仪式现在开始，说完院长朝机头重重哈了口气,317、愿陛下托臣以讨贼兴复之效，不效，则责攸之，祎允等之慢,347、拳头朝下跳楼，和地球决斗,288、心脏明明是最强壮的肌肉，为什么大家的心都容易受伤呢,276、“康师傅。”师傅示意徒弟看他操作,347、欧洲的同性恋，岂不是白给？,3.50,331、这股市年纪轻轻的怎么一股跌味？,3.50
19,128、朋友结婚我祝他们早生贵子就让我滚出去我有错吗同性恋很吊吗,316、天线宝宝们由于违规安装大功率天线被砍头,346、梦到一个女孩子，太喜欢了，什么时候能再梦到,287、希望死后能下R18地狱,275、教皇表示十分羡慕日本这片土地，有人愿意主动把小男孩扔过来,346、周芷若离开张无忌之后就特别喜欢去内蒙古旅游，因为这里有遗忘无忌的大草原。,3.50,330、美国是个自由的国家，但既没有自己的字，也没有自己的油。,3.50
20,127、火灾现场的救援工作因受下大雨影响一再受阻,315、重金属乐队因重金属中毒，宣布解散,345、在拆弹专家的不懈努力下，终于将五个炸弹拆成了一副顺子和三个三带一,286、如果我现在死了，那我以后就不用死了。,274、意大利人为什么要用一种面食为自己的国家命名呢,345、愚蠢的我弄坏了我的车。<br>“咯叽咯叽！”修车师傅聪明地一修。,3.50,329、人类每天都盖被子睡觉，所以人类是被子植物。,3.50
21,126、嫌发廊小姐价格太贵王老汉灵机一动叫来了砍价厉害的老婆,314、福建人都有福气，因为能吃是福。,344、科学家坦言利用活植物发电的原理：用韭菜,285、冷知识：冰箱里的奶酪。,273、写论文的大学生和现充是同一类人，他们都会大骂：死翟真恶心！,344、周朴园哪怕不当老爷也能当个视频up主吧，他那么喜欢鲁侍萍。,3.50,328、科学家说地球上智商第二高的生物是黑猩猩，那第一高的是谁啊？,3.50
22,125、我觉得绝地求生要凉了，打了快一年了，一个新英雄都没出。,313、三声报价过后鉴宝师一锤敲碎了文物,343、法国工人开始思考，如果一切都停业了，那我们怎么举行罢工。,284、“我的老家，就住在这个臀，”蛔虫导游向游客们介绍道。,272、迎面走来嘴上喊着八嘎的方阵是我校日语专业同学,343、当我看见花开放的时候花就在枯萎了。,3.50,326、王老汉老婆质问王老汉：我和婆婆掉岩浆里，你跳下去先救哪个？,3.50
23,124、其实张飞刘备关羽是一个人，他精神分裂饰演3人连吴冠中都被骗了,312、吉尼斯世界纪录获得了由吉尼斯世界纪录颁发的“收录了世界上最多的吉尼斯世界记录”的吉尼斯世界纪录,342、“傻子都知道”说明知道的人有可能是傻子，也有可能不是傻子，但是不知道的人一定不是傻子,283、饱暖思淫欲，在现代叫做饿性循环,271、为什么狗仗人事而不仗财务呢？,342、我快要溺亡在平淡如水的生活中。,3.50,325、大家都说爸爸的爸爸叫爷爷，妈妈的妈妈叫姥姥，可是从来没有人告诉过我哥哥的哥哥叫什么？——叫张发荣。,3.50
24,123、填报志愿时我填了个找老婆,311、大雁飞过这个鸟不拉屎的地方竟活活憋死,341、会不会我已经死了，而大家都瞒着我呢,282、这个食人族吃相太丑了，举手投足提心吊胆的,270、每一百个人就有一个人是弱智，由此可见弱智吧99%的人在装病。,341、我和我的梦想是一对情侣，白天我压得她说不出话，晚上她压得我难以入眠。,3.50,324、人往高处走，水往低处流，人的80%是水，所以大部分人就算到了高处也还是下流的。,3.50
25,122、我刚才发现老婆出轨了，但是她每次都去的是假日酒店，看来她还是爱我的,310、考古学家非常困惑：“17年之前的坟怎么都挖不开”,340、面对案发现场留下的指纹，有洁癖的王警官将其一一擦干净了。,281、这栋死过人的屋子是死宅，死宅没有人要,269、“整点报时！”东北朋友买了几座钟表。,340、选男人就像看动漫，op和ed都要跳过。,3.50,323、既然大学生都喜欢坐后排，为什么老师不在教室后面讲。,3.50
26,121、我市多地发生跳楼自杀事件，警方排除同一人作案的可能,309、假币制造厂给员工发的工资居然是真币,339、据说戒烟可以多活十年；那么，只要不断地吸烟与戒烟，人类就可以达到永生,280、我就像海绵里的水，导师越挤我，就会发现我越水。,268、如果太阳会说话，那他说的是不是日语？,339、刘备忘了录明天的备忘录。,3.50,322、屈原投江时年62，正所谓少不入川。,3.50
27,120、我朋友偷了一个木乃伊，他说总算有厕纸用了。,308、“小东西水还挺多。”抢修人员对着喷水的消防栓说道。,338、老王得了癌症后被人冒名顶替，他将计就计，活了下来。,279、全称量词——＂∀＂,267、位于寒冷的北方，苏联不由得打了个冷战,338、食人族折磨人质是一种虐菜行为,3.50,321、奶牛的英文是cow，所以牛奶的英文是woc。,3.50
28,119、王老汉想要一个称手的武器，于是抢走了卖猪蹄小贩的秤。,307、血液在血管内杀出一条血路,337、夕阳西下，内地人已睡下。——新疆人,278、我的作业得了F，是不是就是fantastic的意思？,266、圣诞节我穿袜子，我是我自己的礼物,*337、十几年+驱逐出境，他拿的还是唐僧的剧本。,3.50,320、你不喜欢我啊，那你审美还不错的，我更喜欢你了。,3.50
29,118、手术很成功，这名近视患者顺利安乐死,306、吃下三棱镜后，王老汉终于放出彩虹屁,335、出生不久的小牛犊饿死了，原因是空腹不能喝牛奶,277、我把门关上，我锁住了房间；我把棺材板盖上，我锁住了全世界,265、刚下机测核酸，全飞机只有我是阴性，感觉自己还挺幸运的,336、西门大官人是不是有windows xp？,3.50,319、一身反骨的小明找中医做了正骨后惨遭湮灭。,3.50
30,117、鲁迅说：地上本没有路，走的人多了，就可以收费了！,305、吃惊！我高中同学居然和初中同学一个年龄！,334、DNA片段控诉网站将其显示为DN**段,276、我养成了晚睡的习惯，这样如果我在梦中死去，我就能比早睡的人多活一会。,264、纯路人，我来说两句：下场无路人,335、美式霸凌：不准加奶加糖。,3.50,318、当我宣布自己是个loser，别人却说我不是，我感觉我更失败了。,3.50
31,116、压死骆驼的最后一根救命稻草能不能救下骆驼。,304、“剪短头发的全都是一群娘炮！”公狮子说道,333、由于变种人被人类认可，X战警变成了√战警,275、荀子：全员恶人,263、既然放羊可以用牧羊犬，那么放牛为什么不用牵牛花？,334、在宿舍摆了一天，原来我是手办。,3.50,317、面对控方律师的铁证如山，辩方律师不慌不忙地使出了愚公移山。,3.50
32,115、好气啊！评委夸奖气功大师道,303、解剖结果：他还没死,332、她是不可一世的人，也是不可二世的妈妈,274、“我像t吗”<br>“你像个p”,262、我有个双胞胎哥哥，由于父母只给我俩买一个东西，所以我俩经常抢东西。后来我俩被抓走了。,332、阮经天胡一天刑天是好朋友，三天两头就聚会。,3.51,315、“我想和这个世界好好谈谈。”于是我发表了《与世长辞》。,3.51
33,114、好心男子用加特林把老人扫到了马路对面,302、见鬼小窍门：把大粪泼到自己的房间里可以看见不干净的东西,331、走路就是不断转动脚下的地球,273、有人说《博人传》好看，我不以为燃。,261、“困因困因困因困因困因！”dio口中大喊。,331、周朝分为大小周两个时期，因违反劳动法灭亡。,3.51,314、老师发现男同学身上绑了粉色的炸弹遂批评不够阳刚。,3.51
34,113、我把c盘重命名为u盘为什么还是拔不下来,301、考研的考场上小明随身携带定时炸弹以提醒自己离考试结束还有多长,330、你永远叫不醒装睡的人，但是可以睡了这个人,272、每天世界都在朝我发射一支名叫光阴的箭。终于有一天，我发现我不是小孩子了,260、图书馆就像灵堂，是寄托人们灵魂的地方。,330、吴亦凡在法庭狡辩道：“我上边是好的，是下边坏了。”,3.52,313、建立柏林墙简直就是一举两德。,3.52
35,112、为了控诉这个肉体与金钱交易横行的社会我必须去嫖一次霸王鸡,300、小红用验孕棒验出了三条杆，医生说是怀了个大队长,329、专家研究发现孩子度过快乐寒假的最大障碍之一竟是《快乐寒假》,271、梦是记忆的remix版本,259、只要大家好好学习，每个人成绩都会在平均分以上,*329、形容毫无愧疚感的人：自疚能力弱。,3.52,312、“你这太阳保熟吗？”<br>“不熟，今天是生日。”,3.52
36,111、尸体表现优越刚死半年就升棺发材,299、小明拖延症发作导致拖延症发作被拖延。,328、匹诺曹对着路人大吼：“为什么要说我姓匹奇怪！我姓匹很正常啊！”,270、我有勇气在任何人面前说爱，但是没勇气加上你的名字,258、火机里装的是什么气体，为什么闻起来有一股烧焦的鼻毛味,328、短篇小说《赌徒》<br>刚拿了工资，<br>他去了趟赌场……<br>全输完。,3.53,311、如果病毒不会通过网线传染，为什么不用网线制作防护服呢？,3.53
37,110、女朋友和妈妈同时掉进水里了，请问火葬场第二具半价么？,298、王老汉还是想不明白他的父母为什么要给他取名为“王老汉还是”,327、马德堡半球实验用了16匹马，成功证明费马大定理,269、并排坐在公园的长椅/<br>她的脸有些发红/<br>「可能是阳光太晒了吧」/<br>月亮却认为我想错了,257、绑匪要价八千万，王警官走投无路之下找来中国大妈，与歹徒对峙数个小时歹徒终于答应了50块钱放人,327、被人取笑的同时，我的笑容也被取走了。,3.53,310、会哭的孩子有奶吃，父母给孩子取名莫喊莫得。,3.53
38,109、为学生书包减负王老师抽走了小明书包里那张一百块。,297、恐怖分子手提放映机在市中心挨家挨户播放恐怖片,326、火葬场闹鬼——熟人作案。,268、如果老师把授课方式改成托梦，那么学生们的请假理由就会从起不来变成睡不着。,256、变色龙一到繁殖季节就变色龙,326、孙悟空72变，猪八戒36变，水浒传108将，会不会是孙悟空和猪八戒演完西游记演的水浒传。,3.53,308、秦惠文王对商鞅很好，做牛做马地把他拉扯大。,3.53
39,108、卖火柴的小女孩擦亮了最后一根火柴，最终还是没有把嘴中的香烟点燃,296、暗恋精卫的黄海忍不住感叹，填填的恋爱什么时候才能轮到我,325、“遭透了！”王女士到派出所报案道,267、专家称，我国存在大量单身青年的主要原因是他们都没有对象。,255、“整到的光！”匡衡凿壁偷光后欣喜说道。,324、“小猫咪，你是不是有九条命啊？”<br>“我只有一条，因为遇到你我倒了八辈子霉了。”,3.53,307、岳飞出征，百姓齐声夸赞：“暴金毙咯。”,3.53
40,107、点球大战中国队点了一个乒乓球终于获胜。,295、经验丰富的王警官经过缜密分析，终于判定被害人在死亡之前还活着,324、新闻真不能信，去年说全球最高龄老人是119岁，今年却说是120岁,266、「垃圾不落地」，我被困在宿舍床上。,254、霍比特人挥霍比特币,*323、原来新冠病毒不会传染给宠物啊，怪不得封校了除了学生都能随意进出。,3.53,306、窗户是永恒存在的画展。,3.53
41,106、本院开设无人超市，顾客进去即被做成肉酱,294、我一拳打在机器人脸上，疼的机器人大喊101010001010,323、“要不给你妈来两刀？”医生向患者家属提出了进行手术的建议,265、“忘了我吧！”知识对我说,253、耶稣因急性肠胃炎在最后的晚餐中被油大害死,322、“偷懒”就很low，“为勤劳的人试错”就很高级。,3.53,305、为什么北京人不能当程序员？因为咱们老北京人，一大早就这么溢出。,3.53
42,105、看见诸葛亮的草船曹冲不慌不忙算出了诸葛亮的体重。,293、喝了女儿国水的唐僧诞下一女。产婆悄悄问圣僧女儿美不美,322、每个上网课的孩子都是耶稣，因为他们讨厌钉钉。,264、世界上只存在一种猫猫英雄主义：那就是在发现猫猫没有那么爱你后，你依然很爱它。,252、这天底下还没有我办得成的事。,321、大师把灵异盲盒开光了，什么鬼也没有,3.54,304、色是刮骨刀，华佗给关将军放了一段黄片。,3.54
43,104、现在咬住我头部的就是美洲短吻鳄,292、“桂林！桂林！”桂林导游一路摁着计算器,321、老王逛完知乎之后说：“人均吕布，马均赤兔。”,263、因为电子书没有书香，所以电子书没有书香,251、每一个不曾起舞的日子都是24小时,320、夫妻相争三得利。,3.54,303、某全国连锁店遭受雷击竟导致全国各地的店员全被电死。,3.54
44,103、为了让救护车快速到达现场，我驾车在红灯前开了一条血路,291、西游结束后八戒偷偷把取到的经书调包成古兰经,320、所谓人间蒸发，所以人是液体。同理，灵魂升华，所以灵魂是固体。,262、他说要给我送月亮和花，所以我收到了一场镜花水月。,250、考研，又叫开卷考试。,*319、戈尔巴乔夫终于实现了他的究极艺术：自我解体。,3.55,302、梵高死后他的画那么值钱，那他活着的时候为什么不装死呢？,3.55
45,102、王老汉在葬礼中突然复活，众人合力将其打死才能继续进行葬礼。,290、为了显示自己绝不和德军同流合污，法国人开始集体缺德,319、有异食癖的小明非常喜欢吃食堂饭菜,261、社恐的我：生而畏人，我很抱歉。,249、第一个得艾滋病的人干了什么？老二刺猿了。,318、每天早上看着梳子都觉得我应该是在慢性出家。,3.55,301、既然700分能上四年清华，那我考350是不是只能上两年？,3.55
46,101、医院为了创收要求救护车出车顺便撞个人。,289、因不会写“斩”字被罚满门抄斩,318、历史学需知：即使看着很像，但书上写的不是未来。,260、餐厅生意火爆，留下太多脏盘子，只好双厨狂洗。,248、《资本论》我只看过第一章，因为剩下的要付费了,317、生活就是在米缸里种玫瑰。,3.55,300、魏延参加非诚勿扰竟不小心踢灭所有灯,3.55
47,100、讲文明的王老汉在悬崖边撒尿时自觉向前走了一小步,288、王警官一生气就用拳头猛锤桌面，破案率居高不下,317、连黑奴制度都容不下，美国也好意思自称文化大熔炉？,259、我把羽毛球打坏了，变成了worseminton,246、充电器冒充电器,316、会手语的姑娘扇我一巴掌，算不算吻我？,3.55,299、一年最后一天是12月30，所以上半年应该是到6月15。,3.55
48,099、某官员称贪污属于职业病并呼吁纳入医保,287、为防止人口增长过快，奈何桥改为男生女生向前冲,316、为了防止病人再次割腕自杀，杨医生为病人做了截肢手术。,258、入睡是豪赌，赢了做美梦，输了做噩梦。,244、太阳怎么老是围着地球转啊，就因为我在地球上吗？,315、熬夜是对昨天做辅助延长线。,3.56,298、“这个发出来要被冲的”——我劝本子画师。,3.56
49,098、刚刚被打了，因为跟公司新来的香港会计师说，“你记账吗？”,284、你这一车碎尸，我很难判断你有没有超载啊！交警无奈地看着大巴司机。,315、合情推理：既然猫的叫声是喵，羊的叫声是咩，那么狐狸的叫声是不是呱？,257、存在的星星不一定都发光，发光的星星不一定还存在。,243、什么时候能实行四天工作制啊，现在两天周末拿来加班根本不够用。,314、食人族揍你——打一食物,3.56,297、“苏联人态度为何如此恶劣？”<br>“斯大林，什么鸟都有。”,3.56
50,097、我坐在下面唱歌，成功让讲台上的老师为我转身,283、警方戴上眼镜后，发现案情越来越清晰了,314、公元前202年高祖刘邦建立汉朝，为汉朝灭亡埋下祸根。,256、如果我跳得足够高，风就会吹跑我的影子,242、送分题算不算学术腐败,313、新冠肺炎给美国造成了100万人的死亡，美国为啥还不制裁新冠呢？,3.57,296、我在弱智吧都投稿了三十多篇了，怎么导师还是不让我毕业？,3.57
51,096、“走程序还是直接喷”王老汉不耐烦地看着催公粮的老婆,282、现在的电脑一点也不环保，回收站竟然都没有垃圾分类,313、张医生妙手回春，解决了夏天过于炎热的问题,255、有些国人愿意替日本发光发热，会不会他们上一辈子是原子弹呢？,241、所有的桥都是温暖的，因为它们让河流不再难过。,312、黑夜侵犯了白天的隐私，就有了梦。,3.57,295、“我这里有些好康德”说完杰哥就拿出了精装本三大批判。,3.57
52,095、敬老院与太平间从此分道扬镳，从此老死不相往来,281、吴京拍完《不看不是中国人》后又拍了《不看不是地球人》,312、去驾校学车，学了一个月还是学不像,254、我这是研究人体的论文，有70%的水分怎么了？,240、人生就像一场游戏，死亡是防沉迷,311、水流是鱼的风。,3.57,294、二十三岁的我已经是个五岁的大人了。,3.57
53,094、老婆的皮肤吹弹可破每次逛街回来都一片血肉模糊,280、曹操的身份证姓名是曹*,311、考场上我假装作弊迷惑监考老师其实早已将知识铭记于心,253、日本人体型偏瘦和人口老龄化的原因是胖子和小男孩都炸了,239、华莱士，又叫泄堡王,*310、明明银行名字前有“何难”，为什么我取个存款还是这么难？,3.57,293、前途似锦，怪不得我一个穷人买不起,3.57
54,093、每次去小卖部付完钱就跑从来没被抓到过,279、生物老师砍掉恐怖分子的恐怖组织使其变为正常人！,310、趣味分为低级、中级和高级，拥有低级趣味的同学才可以继续进修中级和高级。,252、上班了是社畜，下班了就是家畜吗？,238、由于长沙新限塑令发布，全市市民竟难以开口说话,309、你已经被困住了！王警官向嫌犯窝点投掷高数课本。,3.57,292、自从面馆使用客户端之后生意一落千丈，许多客户反应端面的时候碗太烫了。,3.57
55,092、“你们谁也别想活着出去！”歹徒冲进停尸房大喊道。,278、警官当场枪毙了柯南，日本犯罪率下降了一半！,309、西方人是欧美人，东方人是亚洲人，为什么南方人和北方人都是中国人,251、“妈妈，我们为什么不吃人呢？”<br>“傻孩子，坏掉的东西怎么能吃呢！”,237、“哥特萝莉”小明第一次女装后如是说道。,308、“我们公司的利润呢？”<br>“利润了。”,3.57,290、王警官追捕犯人时竟被对方拉黑只得作罢。,3.57
56,091、我语重心长的在试卷上写下：老师你不要老问别人自己想想,277、“恭喜你啊，你老婆是个女的”护士对产房外焦急等待的丈夫说,308、我的世界是不是也能叫一方水土养一方人？,250、天青色等烟雨，而我在等死。,236、“你也有今天。”我对日历说。,307、山东外卖小哥电话通知：“超时我。”,3.58,288、没做好总比没做好。,3.58
57,090、小红在舞台上演唱《种太阳》时，被后羿一箭射死,276、推论：长城被造出来之前，世上没有一个人可以称之为好汉,307、“我跟你拼了！”最后关头小红一声大吼，团购人数终于凑满。,249、手铐勒痕，是不是也能叫法令纹,235、既然经常盯着电脑屏幕对眼睛不好，那为什么不用纸质电脑？,306、法国人想到一个笑话，果断投了。,3.58,287、研究调查发现，魏晋南北朝的儿童早熟率比其他时期的更高。,3.58
58,089、谈判专家与绑匪谈判多时绑匪终于决定午饭要炒饭而不是披萨,275、练习倒立的小明被判为反人类,306、嫌疑人明明是带刀的，可这尸体怎么看都是勒死的啊？看来尸体另有其人,248、舍友在睡觉，我开来压路机，卷死他们,234、“大家把垃圾带走。”教授语毕，一位大学生昂首挺胸走出了教室。,305、我一直被你蒙在鼓里，所以你给我的每次打击，我都震耳欲聋。,3.58,286、商鞅说，五驹就是快。,3.58
59,088、行人闯红灯扣满十二分没收双腿禁止走路两年。,274、我市一天才连续跳级七岁就进了敬老院。,305、女生去酒吧，视线千万不要离开自己的酒杯，不然视线就会离开自己的酒杯。,247、室友都在睡觉，我偷偷把他们身下的凉席都卷起来，卷死他们,233、今日事今日毕，不毕就等延毕,304、虽然我只是个实习生，但是我已经和老员工一样完全不想上班了。,3.58,285、∵美国区号是+1，美国报警是911<br>∴中国区号是+86，中国报警是996,3.58
60,087、素食主义者的增加导致氧气含量急剧减少。,273、老王办事效率真高。上午和同事吵完架，下午就把人杀了。,304、由于很多人喜欢黑中医，导致医科类大学非洲留学生暴增,246、steam夏促了，我买这么多游戏放着就是不玩，诶，就是玩,232、成功抓捕逃犯后，王警官兴奋的大喊：“现在换你来当警察了！”,303、对于参加二战这件事，同盟国无法，轴心国无意,3.58,284、明明沉下去的是杰克，为什么有鱼香的是肉丝呢？,3.58
61,086、从小色盲的王警官扫黄行动连连失败,272、在黑心水果摊买了个菠萝切开后看见一堆家具和一块海绵,303、对店家要求温两碗酒要一碟茴香豆的孔乙己在遭众人嘲笑后夺门而出，酒还没凉他就拎着华雄的人头走了回来。,245、阿里巴巴能打败四十大盗是因为他是吸血鬼,231、小明的论文有夸大数据的嫌疑，“大数据好，大数据妙”这种话也赫然其中。,302、“我入坑的这些手办现在全没了。”秦始皇哭诉道。,3.59,282、被判了诛九族，无语了家人们。,3.59
62,085、如今造假太严重了，我买的A片里居然全都是B,271、这种倒霉事儿经王大妈添油加醋这么一说，居然变得可口起来,302、我发明出了百分之百像人类的AI，你的任何指令它都不听,244、“虎鼓瑟兮鸾<br>，仙之人兮列如麻。”,230、河水是从山上流下的，我猜是山云畔藏着一片海。,301、初次约会不要去上坟，不然显得墓地性太强了。,3.59,281、大禹治水三过家门，妻子直呼：禹治波又。,3.59
